Départ;Arrivée;Voyageur;Profil / carte;Identifiant profil;Clé relation;Prix 2de (€);Prix 1re (€);Source;Date de vérification;Statut;Écart vs valeur actuelle
Lyon Part-Dieu;Seyssel – Corbonod;Adulte;Carte Militaire (-75 %);adult-military;lyon-part-dieu|seyssel-corbonod;6,50;9,80;TER Auvergne-Rhône-Alpes;2026-09-02;lu directement;"écart (ancienne 2de 5,20 ; ancienne 1re 15,60)"
Lyon Part-Dieu;Seyssel – Corbonod;Adulte;Carte Famille Militaire (-40 %);adult-family-military;lyon-part-dieu|seyssel-corbonod;15,50;23,50;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Seyssel – Corbonod;Enfant;Aucune — Tarif Enfant 4–11 ans;child-none;lyon-part-dieu|seyssel-corbonod;12,90;19,60;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Seyssel – Corbonod;Enfant;illico LIBERTÉ — Accompagnant, Week-end / Jour férié;child-illico-liberte-weekend-companion;lyon-part-dieu|seyssel-corbonod;6,50;9,80;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Seyssel – Corbonod;Enfant;Carte Famille Militaire;child-family-military;lyon-part-dieu|seyssel-corbonod;7,80;11,80;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Seyssel – Corbonod;Enfant;Carte Familles Nombreuses (-30 %);child-famille-nombreuse-30;lyon-part-dieu|seyssel-corbonod;7,30;12,50;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Seyssel – Corbonod;Enfant;Carte Familles Nombreuses (-40 %);child-famille-nombreuse-40;lyon-part-dieu|seyssel-corbonod;6,30;11,50;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Seyssel – Corbonod;Enfant;Carte Familles Nombreuses (-50 %);child-famille-nombreuse-50;lyon-part-dieu|seyssel-corbonod;5,20;10,40;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Seyssel – Corbonod;Enfant;Carte Familles Nombreuses (-75 %);child-famille-nombreuse-75;lyon-part-dieu|seyssel-corbonod;2,60;7,80;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Bellegarde-sur-Valserine;Adulte;Aucune — Plein tarif;adult-none;lyon-part-dieu|bellegarde-sur-valserine;28,90;44,00;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Bellegarde-sur-Valserine;Adulte;illico LIBERTÉ — Semaine (-25 %);adult-illico-liberte-weekday;lyon-part-dieu|bellegarde-sur-valserine;21,70;33,00;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Bellegarde-sur-Valserine;Adulte;illico LIBERTÉ — Week-end / Jour férié (-50 %);adult-illico-liberte-weekend;lyon-part-dieu|bellegarde-sur-valserine;14,50;22,00;SNCF Connect;2026-09-02;lu directement;identique
